binom,redlistCategory,orderName,familyName,ED,num.studies,page_views.x
Ablepharus bivittatus,Least Concern,Squamata,Scincidae,5,0,1970
Ablepharus budaki,Least Concern,Squamata,Scincidae,6,0,8400
Ablepharus chernovi,Least Concern,Squamata,Scincidae,6,0,2153
Ablepharus darvazi,Data Deficient,Squamata,Scincidae,5,0,1905
Ablepharus deserti,Least Concern,Squamata,Scincidae,5,0,2104
Ablepharus grayanus,Not Assessed,Squamata,Scincidae,9,0,1403
Ablepharus kitaibelii,Least Concern,Squamata,Scincidae,6,0,12688
Ablepharus lindbergi,Least Concern,Squamata,Scincidae,5,0,443
Ablepharus pannonicus,Not Assessed,Squamata,Scincidae,5,0,8894
Ablepharus rueppellii,Least Concern,Squamata,Scincidae,5,0,4862
Abronia anzuetoi,Vulnerable,Squamata,Anguidae,3,0,2116
Abronia aurita,Endangered,Squamata,Anguidae,2,0,4296
Abronia bogerti,Data Deficient,Squamata,Anguidae,7,0,5106
Abronia campbelli,Critically Endangered,Squamata,Anguidae,2,0,6635
Abronia chiszari,Endangered,Squamata,Anguidae,10,0,4214
Abronia cuetzpali,Not Assessed,Squamata,Anguidae,5,0,159
Abronia deppii,Endangered,Squamata,Anguidae,7,0,5384
Abronia fimbriata,Endangered,Squamata,Anguidae,3,0,4775
Abronia frosti,Critically Endangered,Squamata,Anguidae,9,0,2452
Abronia fuscolabialis,Endangered,Squamata,Anguidae,7,0,2917
Abronia gaiophantasma,Endangered,Squamata,Anguidae,7,0,1486
Abronia graminea,Endangered,Squamata,Anguidae,9,0,14659
Abronia leurolepis,Data Deficient,Squamata,Anguidae,7,0,3611
Abronia lythrochila,Least Concern,Squamata,Anguidae,4,0,6921
Abronia martindelcampoi,Endangered,Squamata,Anguidae,7,0,3276
Abronia matudai,Endangered,Squamata,Anguidae,4,0,3426
Abronia meledona,Endangered,Squamata,Anguidae,7,0,148
Abronia mitchelli,Data Deficient,Squamata,Anguidae,7,0,2429
Abronia mixteca,Vulnerable,Squamata,Anguidae,10,0,4175
